Field,Description
VendorID,"A code indicating the LPEP provider that provided the record (1= Creative Mobile Technologies, LLC; 2= Verifone Inc.)"
lpep_pickup_datetime,The date and time when the meter was engaged
lpep_dropoff_datetime,The date and time when the meter was disengaged
store_and_fwd_flag,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka “store and forward,” because the vehicle did not have a connection to the server (Y= store and forward trip; N= not a store and forward trip)"
RatecodeID,The final rate code in effect at the end of the trip (1= Standard rate; 2= JFK; 3= Newark; 4= Nassau or Westchester; 5= Negotiated fare; 6= Group ride)
PULocationID,TLC Taxi Zone in which the taximeter was engaged
DOLocationID,TLC Taxi Zone in which the taximeter was disengaged
passenger_count,The number of passengers in the vehicle (this is a driver entered value)
trip_distance,The elapsed trip distance in miles reported by the taximeter
fare_amount,The time-and-distance fare calculated by the meter
extra,Miscellaneous extras and surcharges (this only includes the $0.50 and $1 rush hour and overnight charges)
mta_tax,$0.50 MTA tax that is automatically triggered based on the metered rate in use
tip_amount,Tip amount (automatically populated for credit card tips - cash tips are not included)
tolls_amount,Total amount of all tolls paid in trip
improvement_surcharge,$0.30 improvement surcharge assessed on hailed trips at the flag drop
total_amount,The total amount charged to passengers (does not include cash tips)
payment_type,A numeric code signifying how the passenger paid for the trip (1= Credit card; 2= Cash; 3= No charge; 4= Dispute; 5= Unknown; 6= Voided trip)
trip_type,A code indicating whether the trip was a street-hail or a dispatch that is automatically assigned based on the metered rate in use but can be altered by the driver (1= Street-hail; 2= Dispatch)
congestion_surcharge,"Congestion surcharge for trips that start, end or pass through the congestion zone in Manhattan, south of 96th street ($2.50 for non-shared trips in Yellow Taxis; $2.75 for non-shared trips in Green Taxis)"
